"","ward_pre","dole_pct","bush2000_pct","votes_cast_1996","votes_cast_2000","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"2025","40 34",0.21304347826087,0.270161290322581,230,248,10221.376012234,9434.35833904818,24965,20257,0.6380703467357,0.0109894102623105,180
"2026","40 35",0.155440414507772,0.205240174672489,386,458,10802.4275158453,10011.5253573606,30663,39664,0.519748902890013,0.158794951339034,850
"2027","40 36",0.247838616714697,0.27431421446384,347,401,9552.62864358968,8762.28519588489,26988,30340,0.606299153892395,0.023604773637887,750
"2028","40 37",0.241293532338308,0.222868217054264,402,516,11160.5837643602,10370.804074736,41985,58129,0.479779142842713,0.140690476397808,690
"2029","40 38",0.177489177489178,0.19758064516129,231,248,10054.3554255249,9263.01619957145,24068,16790,0.580726249388207,0.0199971578692754,318
"2030","40 39",0.223564954682779,0.219354838709677,331,310,11019.4149634444,10226.1503944037,21704,13579,0.574028355484896,0.0767994861838861,400
"2031","40 40",0.231182795698925,0.221698113207547,186,212,9596.53953823713,8799.74299325714,27637,6755,0.740080651201948,0.0120790443360327,311
"2032","40 41",0.189333333333333,0.151843817787419,375,461,9545.03671007079,8750.8982428193,59603,49424,0.678248652613957,0.0365120026230677,477
"2033","40 42",0.191489361702128,0.208333333333333,376,480,9537.8578839718,8746.00340159874,79707,61296,0.687982686876957,0.030149941467732,530
"2034","40 43",0.225913621262458,0.191489361702128,301,423,9145.86650983048,8352.3728496457,60612,120711,0.652949852650787,0.073827984854059,565
"2035","40 44",0.223826714801444,0.271698113207547,277,265,9907.20546054635,9112.0785238192,23800,29716,0.558136452963823,0.0232175937412629,356
"2036","40 45",0.268229166666667,0.231578947368421,384,475,10153.0317961948,9356.38633300658,105051,37370,0.622394665624603,0.0673946057510413,670
"2037","40 46",0.178571428571429,0.164556962025316,280,395,10407.3949110079,9615.35188319341,18452,35615,0.54088742089816,0.130776736374786,867
"2038","40 47",0.136904761904762,0.148241206030151,336,398,11666.245678606,10883.3367789735,4598,4141,0.69200339694725,0.150905445707352,454
"2039","41 1",0.42433234421365,0.449275362318841,337,345,16394.0665875515,18099.5185180068,43864,0,0.983993592952173,0.00110720606175577,251
"2040","41 2",0.444,0.481707317073171,500,492,16847.3829019389,18566.4248915009,68394,0,0.95995821352032,0.00183683193441343,546
"2041","41 3",0.316546762589928,0.4330900243309,417,411,12544.5102797457,14286.650180413,39434,11393,0.884601731086032,0.000180694084852977,608
"2042","41 4",0.452173913043478,0.453089244851259,460,437,15704.2932320737,17428.9829051295,45199,8652,0.976869586960284,0,411
"2043","41 5",0.35509138381201,0.498666666666667,383,375,15456.7326406377,17183.7336240032,34955,2715,0.958072113478147,0.00185573504342199,465
"2044","41 6",0.419178082191781,0.468193384223919,365,393,15216.4990508901,16938.2567477349,34569,14883,0.946613674240076,0.00074425596193692,479
